,Price
2013-02-15,-0.00367647058823517
2013-02-16,0.0036900369003689537
2013-02-17,-0.014705882352941124
2013-02-18,0.00746268656716409
2013-02-19,0.0888888888888888
2013-02-20,0.006802721088435382
2013-02-21,0.006756756756756799
2013-02-22,0.016778523489932917
2013-02-23,-0.01650165016501648
2013-02-24,0.003355704697986406
2013-02-25,0.01672240802675584
2013-02-26,0.023026315789473673
2013-02-27,-0.006430868167202619
2013-02-28,0.08090614886731395
2013-03-01,0.03293413173652704
2013-03-02,-0.005797101449275477
2013-03-03,0.005830903790087438
2013-03-04,0.049275362318840665
2013-03-05,0.11325966850828717
2013-03-06,0.017369727047146455
2013-03-07,0.024390243902439046
2013-03-08,0.05238095238095242
2013-03-09,0.0588235294117645
2013-03-10,-0.017094017094017033
2013-03-11,0.05217391304347818
2013-03-12,-0.08471074380165289
2013-03-13,0.05869074492099324
2013-03-14,0.006396588486140775
2013-03-15,-0.00423728813559332
2013-03-16,0.0
2013-03-17,0.008510638297872353
2013-03-18,0.08860759493670889
2013-03-19,0.14534883720930236
2013-03-20,0.09137055837563457
2013-03-21,0.0976744186046512
2013-03-22,-0.012711864406779516
2013-03-23,-0.0801144492131618
2013-03-24,0.11197511664074655
2013-03-25,0.029370629370629286
2013-03-26,0.06657608695652173
2013-03-27,0.132484076433121
2013-03-28,-0.030371203599550034
2013-03-29,0.04988399071925742
2013-03-30,0.01878453038674044
2013-03-31,0.008676789587852562
2013-04-01,0.11827956989247301
2013-04-02,0.13461538461538458
2013-04-03,0.14406779661016955
2013-04-04,-0.021481481481481546
2013-04-05,0.07721423164269514
2013-04-06,0.0021082220660575413
2013-04-07,0.1381486676016832
2013-04-08,0.155268022181146
2013-04-09,0.22666666666666657
2013-04-10,-0.28260869565217395
2013-04-11,-0.24303030303030304
2013-04-12,-0.06325060048038433
2013-04-13,-0.20512820512820518
2013-04-14,-0.032258064516129004
2013-04-15,-0.08444444444444443
2013-04-16,-0.16990291262135926
2013-04-17,0.36111111111111094
2013-04-18,0.1707841031149302
2013-04-19,0.08715596330275233
2013-04-20,0.06835443037974676
2013-04-21,-0.05845181674565558
2013-04-22,0.06879194630872476
2013-04-23,0.12637362637362637
2013-04-24,0.07456445993031346
2013-04-25,-0.08106355382619979
2013-04-26,-0.0338743824982356
2013-04-27,-0.06501095690284886
2013-04-28,0.050000000000000044
2013-04-29,0.0714285714285714
2013-04-30,-0.03333333333333344
2013-05-01,-0.1637931034482758
2013-05-02,-0.08676975945017185
2013-05-03,-0.07714016933207901
2013-05-04,0.15086646279306848
2013-05-05,0.027457927369353374
2013-05-06,-0.03189655172413797
2013-05-07,-0.024042742653606397
2013-05-08,0.03284671532846728
2013-05-09,-0.0035335689045936647
2013-05-10,0.043439716312056786
